run_date__record_date,run_time__record_time,index_date__index_valuation_date,akshare_dividend_yield_2,bond_date__china_10y_yield_date,bond_10y_yield,spread,percentile_signal,absolute_signal,spread_signal,headline_signal,lixinger_date__percentile_source_date,lixinger_dividend_yield,lixinger_percentile_10y,lixinger_percentile_80_value,lixinger_source,source_note
记录日期,记录时间,指数估值日期,AKShare股息率2(%),中国10年国债收益率日期,中国10年国债收益率(%),股债利差:股息率2-10年国债收益率(百分点),历史分位点触发,绝对股息率触发,股债利差触发,综合结论,理杏仁估值日期,理杏仁市值加权股息率(%),理杏仁近10年股息率分位(%),理杏仁近10年80%分位点(%),理杏仁数据源状态,数据来源说明
2026/6/3,2026/6/3 14:18,2026/6/2,4.83,2026/6/2,1.7036,3.1264,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁限流,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁限流: Open API 返回 HTTP 429 Too Many Requests；为避免加重限流，已跳过公开页面回退"
2026/6/4,2026/6/4 12:05,2026/6/3,4.83,2026/6/3,1.7128,3.1172,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026/6/5,2026/6/5 12:02,2026/6/4,4.85,2026/6/4,1.7081,3.1419,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-08,2026-06-08 12:02:53,2026-06-05,4.85,2026-06-05,1.7207,3.1292999999999997,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-09,2026-06-09 12:02:42,2026-06-08,4.9,2026-06-08,1.7275,3.1725000000000003,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-10,2026-06-10 09:41:48,2026-06-09,4.9,2026-06-09,1.7376,3.1624000000000003,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-11,2026-06-11 15:03:00,2026-06-10,4.93,2026-06-10,1.7476,3.1823999999999995,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-12,2026-06-12 12:45:42,2026-06-11,4.95,2026-06-11,1.7475,3.2025,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-16,2026-06-16 12:04:44,2026-06-15,4.94,2026-06-15,1.7446,3.1954000000000002,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-17,2026-06-17 12:04:53,2026-06-16,5.03,2026-06-16,1.7324,3.2976,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-18,2026-06-18 14:00:54,2026-06-17,5.08,2026-06-17,1.727,3.3529999999999998,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-22,2026-06-22 12:04:51,2026-06-19,5.19,2026-06-18,1.7299,3.4601000000000006,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-23,2026-06-23 14:23:04,2026-06-23,5.17,2026-06-23,1.7437,3.4263,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-24,2026-06-24 14:23:22,2026-06-24,5.25,2026-06-24,1.7454,3.5046,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-25,2026-06-25 14:23:39,2026-06-25,5.31,2026-06-25,1.7351,3.5748999999999995,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-26,2026-06-26 14:23:57,2026-06-26,5.43,2026-06-26,1.7314,3.6986,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-27,2026-06-27 14:24:16,2026-06-26,5.43,2026-06-26,1.7314,3.6986,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-28,2026-06-28 14:24:36,2026-06-26,5.43,2026-06-26,1.7314,3.6986,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-29,2026-06-29 14:25:19,2026-06-29,5.39,2026-06-29,1.717,3.6729999999999996,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-30,2026-06-30 14:25:37,2026-06-30,4.84,2026-06-30,1.733,3.1069999999999998,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-07-01,2026-07-01 14:25:55,2026-07-01,4.76,2026-07-01,1.7448,3.0152,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-07-02,2026-07-02 14:26:12,2026-07-02,4.72,2026-07-02,1.741,2.9789999999999996,历史分位点待验证,小额定投,红利性价比较高,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-07-03,2026-07-03 14:26:33,2026-07-03,4.67,2026-07-03,1.7463,2.9237,历史分位点待验证,小额定投,红利性价比较高,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-07-04,2026-07-04 14:26:50,2026-07-03,4.67,2026-07-03,1.7463,2.9237,历史分位点待验证,小额定投,红利性价比较高,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-07-05,2026-07-05 14:27:09,2026-07-03,4.67,2026-07-03,1.7463,2.9237,历史分位点待验证,小额定投,红利性价比较高,历史分位点待验证，暂不判定重点买入区间,,,,,理杏仁待验证,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-07-06,15:16:11,2026-07-03,4.67,2026-07-03,1.7463,2.9237,观望,小额定投,红利性价比较高,未进入重点买入区间,2026-07-03,4.66,30.44,6.12,理杏仁公开页面,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁公开页面: https://www.lixinger.com/equity/index/detail/sh/000922/922/fundamental/valuation/dyr?metrics-type=mcw"
