输入参数,数值
起始价格,8.100
步长比例,6.00%
最大跌幅,70.00%
资金模式,固定每格金额
每格金额（元）,5000.00
单边费率,0.000%
留利润策略,关闭（网格 1.0）

估值辅助,数值
标的代码,510500
标的名称,XD中证500ETF南方
跟踪指数,000905 中证500
数据来源,知行温度计
数据日期,2026-07-14
查询时间,2026-07-15T19:14:41.384247+08:00
缓存状态,本次查询结果
快照状态,最新查询结果
指数温度,76.00
估值区间,偏高
内在收益率,4.42%
股息率,1.53%

压力测试,数值
实际价格步长,0.486
覆盖跌幅,72.00%
网格档数,13
证券本金预算,65000.00
计划现金,65000.00
最大实际投入,62175.60
未使用现金,2824.40
总持仓,14000
平均成本,4.441
最低买入价,2.268
最低档情景-持仓总市值,31752.00
最低档浮亏,-30423.60
最低档浮亏比例,-48.93%

序号,档位,买入价格,卖出价格,买入数量,买入金额,卖出数量,卖出金额,盈利金额,盈利比例
1,8.100,8.100,8.586,600,4860.00,600,5151.60,291.60,6.00%
2,7.614,7.614,8.100,600,4568.40,600,4860.00,291.60,6.38%
3,7.128,7.128,7.614,700,4989.60,700,5329.80,340.20,6.82%
4,6.642,6.642,7.128,700,4649.40,700,4989.60,340.20,7.32%
5,6.156,6.156,6.642,800,4924.80,800,5313.60,388.80,7.89%
6,5.670,5.670,6.156,800,4536.00,800,4924.80,388.80,8.57%
7,5.184,5.184,5.670,900,4665.60,900,5103.00,437.40,9.37%
8,4.698,4.698,5.184,1000,4698.00,1000,5184.00,486.00,10.34%
9,4.212,4.212,4.698,1100,4633.20,1100,5167.80,534.60,11.54%
10,3.726,3.726,4.212,1300,4843.80,1300,5475.60,631.80,13.04%
11,3.240,3.240,3.726,1500,4860.00,1500,5589.00,729.00,15.00%
12,2.754,2.754,3.240,1800,4957.20,1800,5832.00,874.80,17.65%
13,2.268,2.268,2.754,2200,4989.60,2200,6058.80,1069.20,21.43%